[-0.11278045922517776],[-0.41652026772499084],[137.49619110921796],[0.49077001214027405],[0.588769257068634],[-128.59432811626746]
[-0.12248703837394714],[-0.40599724650382996],[130.6998139266067],[0.49357783794403076],[0.5915694832801819],[-128.7150582646712]
[-0.12724579870700836],[-0.4000259041786194],[126.7408030982366],[0.4952422082424164],[0.5931984186172485],[-128.67014542938543]
[-0.13887527585029602],[-0.38070306181907654],[117.20456652402137],[0.5003820657730103],[0.5984942317008972],[-128.91758021475184]
[-0.14383183419704437],[-0.3701745569705963],[113.74247190317288],[0.5028610229492188],[0.60096275806427],[-129.16758633378745]
[-0.1470348834991455],[-0.3630640506744385],[111.56619678245451],[0.5046663880348206],[0.6026433706283569],[-129.0102598459858]
[-0.150522381067276],[-0.353239506483078],[108.5814853994431],[0.5068036317825317],[0.6047553420066833],[-128.85141662249944]
[-0.15371158719062805],[-0.34323155879974365],[105.87906158552786],[0.5089354515075684],[0.6067646145820618],[-128.79809682113319]
[-0.15631580352783203],[-0.3334127962589264],[103.47350518127332],[0.5114172101020813],[0.6090633869171143],[-128.69601982519148]
[-0.1586056649684906],[-0.3236439526081085],[101.46254092147863],[0.5139427185058594],[0.6112240552902222],[-128.32176808770853]
[-0.1621146947145462],[-0.3045121431350708],[97.7873695599891],[0.5184436440467834],[0.6155334115028381],[-128.24679337672433]
[-0.16333076357841492],[-0.2931636869907379],[95.89282782879134],[0.5207961797714233],[0.6179201602935791],[-128.66108296225684]
[-0.16429264843463898],[-0.28553298115730286],[94.80913257117429],[0.5224549174308777],[0.619515061378479],[-128.69984240948085]
[-0.1651519387960434],[-0.2734200060367584],[92.99930263045475],[0.5246886610984802],[0.6217761039733887],[-128.69276938754803]
[-0.16560271382331848],[-0.26510265469551086],[91.4709670658108],[0.5262887477874756],[0.623333752155304],[-128.6927206774821]
[-0.16567474603652954],[-0.2548927962779999],[89.80065117082071],[0.5283923745155334],[0.6254685521125793],[-128.71907130075644]
[-0.1658741533756256],[-0.24479545652866364],[88.60368187022623],[0.5306061506271362],[0.6276123523712158],[-128.96339774939875]
[-0.1655915081501007],[-0.2349475473165512],[87.60976324925475],[0.5327127575874329],[0.6297067999839783],[-129.07832056966615]
[-0.1652992218732834],[-0.22483353316783905],[86.71778938727162],[0.5346542596817017],[0.6317624449729919],[-129.26123031682963]
[-0.16481785476207733],[-0.21527963876724243],[86.16831107177565],[0.5364659428596497],[0.6337335705757141],[-129.59222447501543]
[-0.16397404670715332],[-0.2018897831439972],[85.32136281584013],[0.5390509963035583],[0.6364359259605408],[-130.11890588619164]
[-0.1628938615322113],[-0.19055986404418945],[85.16337718545853],[0.5415344834327698],[0.6386519074440002],[-129.876790981308]
[-0.162247896194458],[-0.18059098720550537],[84.75342623197068],[0.5429456830024719],[0.6401150226593018],[-129.99040209765667]
[-0.16176846623420715],[-0.1723596602678299],[84.43644914984027],[0.5441570281982422],[0.6411229372024536],[-130.08184615944373]
[-0.16064530611038208],[-0.15811361372470856],[83.43036407204319],[0.5462045073509216],[0.6431207656860352],[-130.24689345843942]
[-0.15962867438793182],[-0.15026003122329712],[83.06729040018129],[0.5476981997489929],[0.6443601250648499],[-130.0239846524577]
[-0.1583741307258606],[-0.14045394957065582],[82.74010496596898],[0.5496914386749268],[0.6459977626800537],[-129.78540551855355]
[-0.15715035796165466],[-0.12870989739894867],[82.78787468955765],[0.5522362589836121],[0.6483517289161682],[-129.49216808846552]
[-0.15618295967578888],[-0.12095154821872711],[82.90084543687318],[0.5536745190620422],[0.6497617959976196],[-129.48260786336985]
[-0.15461157262325287],[-0.10687419772148132],[82.99541965126122],[0.5557366609573364],[0.6518639922142029],[-129.7206008824205]
[-0.1538141816854477],[-0.09885450452566147],[83.17801701334517],[0.5571919679641724],[0.6529504656791687],[-129.8428361795706]
[-0.15292029082775116],[-0.08906649053096771],[83.31567675799354],[0.5588936805725098],[0.6543253660202026],[-129.55211502801936]
[-0.15171024203300476],[-0.07891838252544403],[83.26246936628672],[0.5605793595314026],[0.6559123396873474],[-129.52074625936126]
[-0.15050476789474487],[-0.06690244376659393],[82.83333721122818],[0.5624942779541016],[0.657890260219574],[-129.77739252069662]
[-0.14900721609592438],[-0.05431216582655907],[82.48956496072913],[0.5644002556800842],[0.6597697138786316],[-129.99220724458783]
